Channel ,Time_Hours,Current_mA,CurrentDensity_mA/cm^2,Time_Since_Inoc_hrs
2_prime1338,5.40,0.592467,0.0196,1.40
2_prime1338,5.40,0.590743,0.0195,1.40
2_prime1338,5.40,0.588068,0.0195,1.40
2_prime1338,5.50,0.587018,0.0194,1.50
2_prime1338,5.50,0.585612,0.0194,1.50
2_prime1338,5.50,0.584332,0.0193,1.50
2_prime1338,5.50,0.582572,0.0193,1.50
2_prime1338,5.50,0.581477,0.0192,1.50
2_prime1338,5.60,0.581713,0.0192,1.60
2_prime1338,5.60,0.578417,0.0191,1.60
2_prime1338,5.60,0.577157,0.0191,1.60
2_prime1338,5.60,0.575800,0.0190,1.60
2_prime1338,5.60,0.580134,0.0192,1.60
2_prime1338,5.70,0.581855,0.0192,1.70
2_prime1338,5.70,0.581982,0.0192,1.70
2_prime1338,5.70,0.583255,0.0193,1.70
2_prime1338,5.70,0.583720,0.0193,1.70
2_prime1338,5.80,0.581951,0.0192,1.80
2_prime1338,5.80,0.580785,0.0192,1.80
2_prime1338,5.80,0.580914,0.0192,1.80
2_prime1338,5.80,0.580276,0.0192,1.80
2_prime1338,5.80,0.580019,0.0192,1.80
2_prime1338,5.90,0.580002,0.0192,1.90
2_prime1338,5.90,0.578577,0.0191,1.90
2_prime1338,5.90,0.578287,0.0191,1.90
2_prime1338,5.90,0.577858,0.0191,1.90
2_prime1338,5.90,0.576448,0.0191,1.90
2_prime1338,6.00,0.576062,0.0191,2.00
2_prime1338,6.00,0.575790,0.0190,2.00
2_prime1338,6.00,0.573993,0.0190,2.00
2_prime1338,6.00,0.572368,0.0189,2.00
2_prime1338,6.00,0.570785,0.0189,2.00
2_prime1338,6.10,0.569238,0.0188,2.10
2_prime1338,6.10,0.568944,0.0188,2.10
2_prime1338,6.10,0.568367,0.0188,2.10
2_prime1338,6.10,0.568506,0.0188,2.10
2_prime1338,6.10,0.567679,0.0188,2.10
2_prime1338,6.20,0.566737,0.0187,2.20
2_prime1338,6.20,0.565945,0.0187,2.20
2_prime1338,6.20,0.565876,0.0187,2.20
2_prime1338,6.20,0.565452,0.0187,2.20
2_prime1338,6.30,0.565193,0.0187,2.30
2_prime1338,6.30,0.563493,0.0186,2.30
2_prime1338,6.30,0.562892,0.0186,2.30
2_prime1338,6.30,0.562943,0.0186,2.30
2_prime1338,6.30,0.560904,0.0186,2.30
2_prime1338,6.40,0.559937,0.0185,2.40
2_prime1338,6.40,0.559831,0.0185,2.40
2_prime1338,6.40,0.560038,0.0185,2.40
2_prime1338,6.40,0.559914,0.0185,2.40
2_prime1338,6.40,0.558007,0.0185,2.40
2_prime1338,6.50,0.555637,0.0184,2.50
2_prime1338,6.50,0.555126,0.0184,2.50
2_prime1338,6.50,0.556147,0.0184,2.50
2_prime1338,6.50,0.554985,0.0184,2.50
2_prime1338,6.50,0.554046,0.0183,2.50
2_prime1338,6.60,0.553688,0.0183,2.60
2_prime1338,6.60,0.553347,0.0183,2.60
2_prime1338,6.60,0.551916,0.0183,2.60
2_prime1338,6.60,0.550734,0.0182,2.60
2_prime1338,6.60,0.550097,0.0182,2.60
2_prime1338,6.70,0.549066,0.0182,2.70
2_prime1338,6.70,0.548746,0.0182,2.70
2_prime1338,6.70,0.547932,0.0181,2.70
2_prime1338,6.70,0.548302,0.0181,2.70
2_prime1338,6.80,0.548345,0.0181,2.80
2_prime1338,6.80,0.547652,0.0181,2.80
2_prime1338,6.80,0.545593,0.0180,2.80
2_prime1338,6.80,0.545106,0.0180,2.80
2_prime1338,6.80,0.544120,0.0180,2.80
2_prime1338,6.90,0.544782,0.0180,2.90
2_prime1338,6.90,0.545033,0.0180,2.90
2_prime1338,6.90,0.544237,0.0180,2.90
2_prime1338,6.90,0.543412,0.0180,2.90
2_prime1338,6.90,0.544152,0.0180,2.90
2_prime1338,7.00,0.542677,0.0179,3.00
2_prime1338,7.00,0.542067,0.0179,3.00
2_prime1338,7.00,0.540457,0.0179,3.00
2_prime1338,7.00,0.540396,0.0179,3.00
2_prime1338,7.00,0.538793,0.0178,3.00
2_prime1338,7.10,0.537420,0.0178,3.10
2_prime1338,7.10,0.536795,0.0178,3.10
2_prime1338,7.10,0.535698,0.0177,3.10
2_prime1338,7.10,0.536640,0.0178,3.10
2_prime1338,7.10,0.535407,0.0177,3.10
2_prime1338,7.20,0.534450,0.0177,3.20
2_prime1338,7.20,0.532983,0.0176,3.20
2_prime1338,7.20,0.532344,0.0176,3.20
2_prime1338,7.20,0.531977,0.0176,3.20
2_prime1338,7.30,0.531369,0.0176,3.30
2_prime1338,7.30,0.531604,0.0176,3.30
2_prime1338,7.30,0.530428,0.0175,3.30
2_prime1338,7.30,0.528356,0.0175,3.30
2_prime1338,7.30,0.528282,0.0175,3.30
2_prime1338,7.40,0.528657,0.0175,3.40
2_prime1338,7.40,0.527318,0.0174,3.40
2_prime1338,7.40,0.526433,0.0174,3.40
2_prime1338,7.40,0.525686,0.0174,3.40
2_prime1338,7.40,0.524183,0.0173,3.40
2_prime1338,7.50,0.521810,0.0173,3.50
2_prime1338,7.50,0.520483,0.0172,3.50
2_prime1338,7.50,0.519505,0.0172,3.50
2_prime1338,7.50,0.521202,0.0172,3.50
2_prime1338,7.50,0.522515,0.0173,3.50
2_prime1338,7.60,0.523180,0.0173,3.60
2_prime1338,7.60,0.523663,0.0173,3.60
2_prime1338,7.60,0.524055,0.0173,3.60
2_prime1338,7.60,0.523996,0.0173,3.60
2_prime1338,7.60,0.523706,0.0173,3.60
2_prime1338,7.70,0.523349,0.0173,3.70
2_prime1338,7.70,0.523360,0.0173,3.70
2_prime1338,7.70,0.521675,0.0173,3.70
2_prime1338,7.70,0.522668,0.0173,3.70
2_prime1338,7.80,0.522001,0.0173,3.80
2_prime1338,7.80,0.521787,0.0173,3.80
2_prime1338,7.80,0.521359,0.0172,3.80
2_prime1338,7.80,0.520562,0.0172,3.80
2_prime1338,7.80,0.520515,0.0172,3.80
2_prime1338,7.90,0.520930,0.0172,3.90
2_prime1338,7.90,0.520352,0.0172,3.90
2_prime1338,7.90,0.519543,0.0172,3.90
2_prime1338,7.90,0.519160,0.0172,3.90
2_prime1338,7.90,0.519440,0.0172,3.90
2_prime1338,8.00,0.520407,0.0172,4.00
2_prime1338,8.00,0.519787,0.0172,4.00
2_prime1338,8.00,0.518899,0.0172,4.00
2_prime1338,8.00,0.518383,0.0171,4.00
2_prime1338,8.00,0.518281,0.0171,4.00
2_prime1338,8.10,0.517798,0.0171,4.10
2_prime1338,8.10,0.517785,0.0171,4.10
2_prime1338,8.10,0.516632,0.0171,4.10
2_prime1338,8.10,0.515930,0.0171,4.10
2_prime1338,8.10,0.516685,0.0171,4.10
2_prime1338,8.20,0.516073,0.0171,4.20
2_prime1338,8.20,0.515414,0.0170,4.20
2_prime1338,8.20,0.514452,0.0170,4.20
2_prime1338,8.20,0.514277,0.0170,4.20
2_prime1338,8.30,0.514010,0.0170,4.30
2_prime1338,8.30,0.513713,0.0170,4.30
2_prime1338,8.30,0.513906,0.0170,4.30
2_prime1338,8.30,0.514854,0.0170,4.30
2_prime1338,8.30,0.513291,0.0170,4.30
2_prime1338,8.40,0.513184,0.0170,4.40
2_prime1338,8.40,0.512821,0.0170,4.40
2_prime1338,8.40,0.512815,0.0170,4.40
2_prime1338,8.40,0.512470,0.0170,4.40
2_prime1338,8.40,0.511703,0.0169,4.40
2_prime1338,8.50,0.511944,0.0169,4.50
2_prime1338,8.50,0.511584,0.0169,4.50
2_prime1338,8.50,0.512011,0.0169,4.50
2_prime1338,8.50,0.511388,0.0169,4.50
2_prime1338,8.50,0.511003,0.0169,4.50
2_prime1338,8.60,0.511850,0.0169,4.60
2_prime1338,8.60,0.512262,0.0169,4.60
2_prime1338,8.60,0.511742,0.0169,4.60
2_prime1338,8.60,0.511532,0.0169,4.60
2_prime1338,8.60,0.511289,0.0169,4.60
2_prime1338,8.70,0.510928,0.0169,4.70
2_prime1338,8.70,0.509632,0.0169,4.70
2_prime1338,8.70,0.510416,0.0169,4.70
2_prime1338,8.70,0.510591,0.0169,4.70
2_prime1338,8.80,0.509014,0.0168,4.80
2_prime1338,8.80,0.510338,0.0169,4.80
2_prime1338,8.80,0.509551,0.0169,4.80
2_prime1338,8.80,0.508170,0.0168,4.80
2_prime1338,8.80,0.508028,0.0168,4.80
2_prime1338,8.90,0.507470,0.0168,4.90
2_prime1338,8.90,0.507665,0.0168,4.90
2_prime1338,8.90,0.506628,0.0168,4.90
2_prime1338,8.90,0.506137,0.0167,4.90
2_prime1338,8.90,0.506672,0.0168,4.90
2_prime1338,9.00,0.506431,0.0168,5.00
2_prime1338,9.00,0.506836,0.0168,5.00
2_prime1338,9.00,0.506153,0.0167,5.00
2_prime1338,9.00,0.505838,0.0167,5.00
2_prime1338,9.00,0.505087,0.0167,5.00
2_prime1338,9.10,0.504573,0.0167,5.10
2_prime1338,9.10,0.504707,0.0167,5.10
2_prime1338,9.10,0.503877,0.0167,5.10
2_prime1338,9.10,0.502827,0.0166,5.10
2_prime1338,9.10,0.502816,0.0166,5.10
2_prime1338,9.20,0.502763,0.0166,5.20
2_prime1338,9.20,0.502454,0.0166,5.20
2_prime1338,9.20,0.502532,0.0166,5.20
2_prime1338,9.20,0.501125,0.0166,5.20
2_prime1338,9.30,0.501538,0.0166,5.30
2_prime1338,9.30,0.500493,0.0166,5.30
2_prime1338,9.30,0.499595,0.0165,5.30
2_prime1338,9.30,0.498419,0.0165,5.30
2_prime1338,9.30,0.498683,0.0165,5.30
2_prime1338,9.40,0.498008,0.0165,5.40
2_prime1338,9.40,0.497124,0.0164,5.40
2_prime1338,9.40,0.496854,0.0164,5.40
2_prime1338,9.40,0.496568,0.0164,5.40
2_prime1338,9.40,0.496788,0.0164,5.40
2_prime1338,9.50,0.497049,0.0164,5.50
2_prime1338,9.50,0.496522,0.0164,5.50
2_prime1338,9.50,0.496465,0.0164,5.50
2_prime1338,9.50,0.496685,0.0164,5.50
2_prime1338,9.50,0.495700,0.0164,5.50
2_prime1338,9.60,0.494372,0.0164,5.60
2_prime1338,9.60,0.493685,0.0163,5.60
2_prime1338,9.60,0.492664,0.0163,5.60
2_prime1338,9.60,0.491883,0.0163,5.60
2_prime1338,9.60,0.492872,0.0163,5.60
2_prime1338,9.70,0.492437,0.0163,5.70
2_prime1338,9.70,0.492058,0.0163,5.70
2_prime1338,9.70,0.491888,0.0163,5.70
2_prime1338,9.70,0.491583,0.0163,5.70
2_prime1338,9.80,0.491055,0.0162,5.80
2_prime1338,9.80,0.490559,0.0162,5.80
2_prime1338,9.80,0.490838,0.0162,5.80
2_prime1338,9.80,0.490484,0.0162,5.80
2_prime1338,9.80,0.490141,0.0162,5.80
2_prime1338,9.90,0.490258,0.0162,5.90
2_prime1338,9.90,0.490213,0.0162,5.90
2_prime1338,9.90,0.490245,0.0162,5.90
2_prime1338,9.90,0.489571,0.0162,5.90
2_prime1338,9.90,0.488788,0.0162,5.90
2_prime1338,10.00,0.488409,0.0162,6.00
2_prime1338,10.00,0.487350,0.0161,6.00
2_prime1338,10.00,0.486509,0.0161,6.00
2_prime1338,10.00,0.486892,0.0161,6.00
2_prime1338,10.00,0.486224,0.0161,6.00
2_prime1338,10.10,0.485401,0.0161,6.10
2_prime1338,10.10,0.485363,0.0161,6.10
2_prime1338,10.10,0.484108,0.0160,6.10
2_prime1338,10.10,0.484052,0.0160,6.10
2_prime1338,10.10,0.484134,0.0160,6.10
2_prime1338,10.20,0.484754,0.0160,6.20
2_prime1338,10.20,0.484753,0.0160,6.20
2_prime1338,10.20,0.483775,0.0160,6.20
2_prime1338,10.20,0.483769,0.0160,6.20
2_prime1338,10.30,0.483761,0.0160,6.30
2_prime1338,10.30,0.483265,0.0160,6.30
2_prime1338,10.30,0.482688,0.0160,6.30
2_prime1338,10.30,0.482843,0.0160,6.30
2_prime1338,10.30,0.481905,0.0159,6.30
2_prime1338,10.40,0.481072,0.0159,6.40
2_prime1338,10.40,0.481100,0.0159,6.40
2_prime1338,10.40,0.480768,0.0159,6.40
2_prime1338,10.40,0.480787,0.0159,6.40
2_prime1338,10.40,0.481276,0.0159,6.40
2_prime1338,10.50,0.481256,0.0159,6.50
2_prime1338,10.50,0.481365,0.0159,6.50
2_prime1338,10.50,0.479652,0.0159,6.50
2_prime1338,10.50,0.478435,0.0158,6.50
2_prime1338,10.50,0.478690,0.0158,6.50
2_prime1338,10.60,0.478008,0.0158,6.60
2_prime1338,10.60,0.477555,0.0158,6.60
2_prime1338,10.60,0.476452,0.0158,6.60
2_prime1338,10.60,0.475570,0.0157,6.60
2_prime1338,10.60,0.475832,0.0157,6.60
2_prime1338,10.70,0.475154,0.0157,6.70
2_prime1338,10.70,0.474770,0.0157,6.70
2_prime1338,10.70,0.473659,0.0157,6.70
2_prime1338,10.70,0.473375,0.0157,6.70
2_prime1338,10.80,0.473332,0.0157,6.80
2_prime1338,10.80,0.473729,0.0157,6.80
2_prime1338,10.80,0.473841,0.0157,6.80
2_prime1338,10.80,0.473239,0.0157,6.80
2_prime1338,10.80,0.472876,0.0156,6.80
2_prime1338,10.90,0.473388,0.0157,6.90
2_prime1338,10.90,0.473110,0.0156,6.90
2_prime1338,10.90,0.472607,0.0156,6.90
2_prime1338,10.90,0.471723,0.0156,6.90
2_prime1338,10.90,0.470950,0.0156,6.90
2_prime1338,11.00,0.473273,0.0157,7.00
2_prime1338,11.00,0.475607,0.0157,7.00
2_prime1338,11.00,0.476907,0.0158,7.00
2_prime1338,11.00,0.477391,0.0158,7.00
2_prime1338,11.00,0.477259,0.0158,7.00
2_prime1338,11.10,0.477071,0.0158,7.10
2_prime1338,11.10,0.476824,0.0158,7.10
2_prime1338,11.10,0.477086,0.0158,7.10
2_prime1338,11.10,0.477098,0.0158,7.10
2_prime1338,11.10,0.475582,0.0157,7.10
2_prime1338,11.20,0.476757,0.0158,7.20
2_prime1338,11.20,0.477050,0.0158,7.20
2_prime1338,11.20,0.476894,0.0158,7.20
2_prime1338,11.20,0.476450,0.0158,7.20
2_prime1338,11.30,0.475520,0.0157,7.30
2_prime1338,11.30,0.475136,0.0157,7.30
2_prime1338,11.30,0.474995,0.0157,7.30
2_prime1338,11.30,0.475134,0.0157,7.30
2_prime1338,11.30,0.474398,0.0157,7.30
2_prime1338,11.40,0.474789,0.0157,7.40
2_prime1338,11.40,0.475933,0.0157,7.40
2_prime1338,11.40,0.474650,0.0157,7.40
2_prime1338,11.40,0.473929,0.0157,7.40
2_prime1338,11.40,0.474030,0.0157,7.40
2_prime1338,11.50,0.473538,0.0157,7.50
2_prime1338,11.50,0.473452,0.0157,7.50
2_prime1338,11.50,0.473035,0.0156,7.50
2_prime1338,11.50,0.473091,0.0156,7.50
2_prime1338,11.50,0.472083,0.0156,7.50
2_prime1338,11.60,0.472374,0.0156,7.60
2_prime1338,11.60,0.471734,0.0156,7.60
2_prime1338,11.60,0.471634,0.0156,7.60
2_prime1338,11.60,0.471507,0.0156,7.60
2_prime1338,11.60,0.471579,0.0156,7.60
2_prime1338,11.70,0.471546,0.0156,7.70
2_prime1338,11.70,0.471396,0.0156,7.70
2_prime1338,11.70,0.470849,0.0156,7.70
2_prime1338,11.70,0.469356,0.0155,7.70
2_prime1338,11.80,0.469155,0.0155,7.80
2_prime1338,11.80,0.469194,0.0155,7.80
2_prime1338,11.80,0.469243,0.0155,7.80
2_prime1338,11.80,0.469316,0.0155,7.80
2_prime1338,11.80,0.468883,0.0155,7.80
2_prime1338,11.90,0.468946,0.0155,7.90
2_prime1338,11.90,0.467697,0.0155,7.90
2_prime1338,11.90,0.467481,0.0155,7.90
2_prime1338,11.90,0.467418,0.0155,7.90
2_prime1338,11.90,0.467479,0.0155,7.90
2_prime1338,12.00,0.467473,0.0155,8.00
2_prime1338,12.00,0.466910,0.0154,8.00
2_prime1338,12.00,0.466209,0.0154,8.00
2_prime1338,12.00,0.466607,0.0154,8.00
2_prime1338,12.00,0.466112,0.0154,8.00
2_prime1338,12.10,0.465786,0.0154,8.10
2_prime1338,12.10,0.465037,0.0154,8.10
2_prime1338,12.10,0.466171,0.0154,8.10
2_prime1338,12.10,0.466190,0.0154,8.10
2_prime1338,12.10,0.465419,0.0154,8.10
2_prime1338,12.20,0.464051,0.0153,8.20
2_prime1338,12.20,0.464624,0.0154,8.20
2_prime1338,12.20,0.463747,0.0153,8.20
2_prime1338,12.20,0.463650,0.0153,8.20
2_prime1338,12.30,0.464613,0.0154,8.30
2_prime1338,12.30,0.464015,0.0153,8.30
2_prime1338,12.30,0.463619,0.0153,8.30
2_prime1338,12.30,0.463473,0.0153,8.30
2_prime1338,12.30,0.462811,0.0153,8.30
2_prime1338,12.40,0.462332,0.0153,8.40
2_prime1338,12.40,0.462282,0.0153,8.40
2_prime1338,12.40,0.461705,0.0153,8.40
2_prime1338,12.40,0.461685,0.0153,8.40
2_prime1338,12.40,0.461149,0.0153,8.40
2_prime1338,12.50,0.460310,0.0152,8.50
2_prime1338,12.50,0.460808,0.0152,8.50
2_prime1338,12.50,0.460837,0.0152,8.50
2_prime1338,12.50,0.460538,0.0152,8.50
2_prime1338,12.50,0.459516,0.0152,8.50
2_prime1338,12.60,0.459124,0.0152,8.60
2_prime1338,12.60,0.458978,0.0152,8.60
2_prime1338,12.60,0.459609,0.0152,8.60
2_prime1338,12.60,0.458851,0.0152,8.60
2_prime1338,12.60,0.459026,0.0152,8.60
2_prime1338,12.70,0.459065,0.0152,8.70
2_prime1338,12.70,0.458860,0.0152,8.70
2_prime1338,12.70,0.458112,0.0152,8.70
2_prime1338,12.70,0.457826,0.0151,8.70
2_prime1338,12.80,0.457481,0.0151,8.80
2_prime1338,12.80,0.457507,0.0151,8.80
2_prime1338,12.80,0.457182,0.0151,8.80
2_prime1338,12.80,0.457466,0.0151,8.80
2_prime1338,12.80,0.456751,0.0151,8.80
2_prime1338,12.90,0.456051,0.0151,8.90
2_prime1338,12.90,0.455876,0.0151,8.90
2_prime1338,12.90,0.455918,0.0151,8.90
2_prime1338,12.90,0.455743,0.0151,8.90
2_prime1338,12.90,0.455795,0.0151,8.90
2_prime1338,13.00,0.455519,0.0151,9.00
2_prime1338,13.00,0.454527,0.0150,9.00
2_prime1338,13.00,0.454915,0.0150,9.00
2_prime1338,13.00,0.455170,0.0151,9.00
2_prime1338,13.00,0.454238,0.0150,9.00
2_prime1338,13.10,0.453502,0.0150,9.10
2_prime1338,13.10,0.452836,0.0150,9.10
2_prime1338,13.10,0.452783,0.0150,9.10
2_prime1338,13.10,0.452623,0.0150,9.10
2_prime1338,13.10,0.452481,0.0150,9.10
2_prime1338,13.20,0.452111,0.0150,9.20
2_prime1338,13.20,0.451705,0.0149,9.20
2_prime1338,13.20,0.450877,0.0149,9.20
2_prime1338,13.20,0.450685,0.0149,9.20
2_prime1338,13.30,0.450880,0.0149,9.30
2_prime1338,13.30,0.450653,0.0149,9.30
2_prime1338,13.30,0.449605,0.0149,9.30
2_prime1338,13.30,0.450224,0.0149,9.30
2_prime1338,13.30,0.450171,0.0149,9.30
2_prime1338,13.40,0.449414,0.0149,9.40
2_prime1338,13.40,0.449328,0.0149,9.40
2_prime1338,13.40,0.449190,0.0149,9.40
2_prime1338,13.40,0.448881,0.0148,9.40
2_prime1338,13.40,0.448312,0.0148,9.40
2_prime1338,13.50,0.447743,0.0148,9.50
2_prime1338,13.50,0.447741,0.0148,9.50
2_prime1338,13.50,0.447781,0.0148,9.50
2_prime1338,13.50,0.446456,0.0148,9.50
2_prime1338,13.50,0.445875,0.0147,9.50
2_prime1338,13.60,0.446388,0.0148,9.60
2_prime1338,13.60,0.446118,0.0148,9.60
2_prime1338,13.60,0.445416,0.0147,9.60
2_prime1338,13.60,0.445267,0.0147,9.60
2_prime1338,13.60,0.444878,0.0147,9.60
2_prime1338,13.70,0.444661,0.0147,9.70
2_prime1338,13.70,0.444182,0.0147,9.70
2_prime1338,13.70,0.444294,0.0147,9.70
2_prime1338,13.70,0.443583,0.0147,9.70
2_prime1338,13.80,0.443415,0.0147,9.80
2_prime1338,13.80,0.443285,0.0147,9.80
2_prime1338,13.80,0.442887,0.0146,9.80
2_prime1338,13.80,0.441807,0.0146,9.80
2_prime1338,13.80,0.441512,0.0146,9.80
2_prime1338,13.90,0.440800,0.0146,9.90
2_prime1338,13.90,0.441370,0.0146,9.90
2_prime1338,13.90,0.441151,0.0146,9.90
2_prime1338,13.90,0.440515,0.0146,9.90
2_prime1338,13.90,0.440403,0.0146,9.90
2_prime1338,14.00,0.440160,0.0146,10.00
2_prime1338,14.00,0.439984,0.0146,10.00
2_prime1338,14.00,0.439329,0.0145,10.00
2_prime1338,14.00,0.439350,0.0145,10.00
2_prime1338,14.00,0.438943,0.0145,10.00
2_prime1338,14.10,0.438550,0.0145,10.10
2_prime1338,14.10,0.438045,0.0145,10.10
2_prime1338,14.10,0.437892,0.0145,10.10
2_prime1338,14.10,0.437489,0.0145,10.10
2_prime1338,14.10,0.436935,0.0145,10.10
2_prime1338,14.20,0.436400,0.0144,10.20
2_prime1338,14.20,0.436498,0.0144,10.20
2_prime1338,14.20,0.436962,0.0145,10.20
2_prime1338,14.20,0.436836,0.0144,10.20
2_prime1338,14.30,0.435639,0.0144,10.30
2_prime1338,14.30,0.435659,0.0144,10.30
2_prime1338,14.30,0.434772,0.0144,10.30
2_prime1338,14.30,0.434551,0.0144,10.30
2_prime1338,14.30,0.434686,0.0144,10.30
2_prime1338,14.40,0.433910,0.0144,10.40
2_prime1338,14.40,0.432375,0.0143,10.40
2_prime1338,14.40,0.432660,0.0143,10.40
2_prime1338,14.40,0.432904,0.0143,10.40
2_prime1338,14.40,0.432555,0.0143,10.40
2_prime1338,14.50,0.432072,0.0143,10.50
2_prime1338,14.50,0.431479,0.0143,10.50
2_prime1338,14.50,0.431116,0.0143,10.50
2_prime1338,14.50,0.431354,0.0143,10.50
2_prime1338,14.50,0.431617,0.0143,10.50
2_prime1338,14.60,0.431087,0.0143,10.60
2_prime1338,14.60,0.430618,0.0142,10.60
2_prime1338,14.60,0.431193,0.0143,10.60
2_prime1338,14.60,0.430131,0.0142,10.60
2_prime1338,14.60,0.430164,0.0142,10.60
2_prime1338,14.70,0.430091,0.0142,10.70
2_prime1338,14.70,0.429464,0.0142,10.70
2_prime1338,14.70,0.428994,0.0142,10.70
2_prime1338,14.70,0.428838,0.0142,10.70
2_prime1338,14.80,0.427748,0.0141,10.80
2_prime1338,14.80,0.427444,0.0141,10.80
2_prime1338,14.80,0.428010,0.0142,10.80
2_prime1338,14.80,0.428332,0.0142,10.80
2_prime1338,14.80,0.427641,0.0141,10.80
2_prime1338,14.90,0.427015,0.0141,10.90
2_prime1338,14.90,0.426553,0.0141,10.90
2_prime1338,14.90,0.426234,0.0141,10.90
2_prime1338,14.90,0.426252,0.0141,10.90
2_prime1338,14.90,0.426409,0.0141,10.90
2_prime1338,15.00,0.425988,0.0141,11.00
2_prime1338,15.00,0.425573,0.0141,11.00
2_prime1338,15.00,0.425478,0.0141,11.00
2_prime1338,15.00,0.425123,0.0141,11.00
2_prime1338,15.00,0.424841,0.0141,11.00
2_prime1338,15.10,0.424784,0.0141,11.10
2_prime1338,15.10,0.424229,0.0140,11.10
2_prime1338,15.10,0.424032,0.0140,11.10
2_prime1338,15.10,0.424138,0.0140,11.10
2_prime1338,15.10,0.423587,0.0140,11.10
2_prime1338,15.20,0.423775,0.0140,11.20
2_prime1338,15.20,0.423648,0.0140,11.20
2_prime1338,15.20,0.422141,0.0140,11.20
2_prime1338,15.20,0.425078,0.0141,11.20
2_prime1338,15.30,0.427064,0.0141,11.30
2_prime1338,15.30,0.427942,0.0142,11.30
2_prime1338,15.30,0.428115,0.0142,11.30
2_prime1338,15.30,0.427944,0.0142,11.30
2_prime1338,15.30,0.428039,0.0142,11.30
2_prime1338,15.40,0.427898,0.0142,11.40
2_prime1338,15.40,0.427900,0.0142,11.40
2_prime1338,15.40,0.427580,0.0141,11.40
2_prime1338,15.40,0.428330,0.0142,11.40
2_prime1338,15.40,0.428885,0.0142,11.40
2_prime1338,15.50,0.428853,0.0142,11.50
2_prime1338,15.50,0.427868,0.0142,11.50
2_prime1338,15.50,0.428019,0.0142,11.50
2_prime1338,15.50,0.427848,0.0142,11.50
2_prime1338,15.50,0.427865,0.0142,11.50
2_prime1338,15.60,0.427340,0.0141,11.60
2_prime1338,15.60,0.427589,0.0141,11.60
